pseudoid,weightnet,vacuumed,quantum,quantumunit,geometry,height,density,massinjar,massinjartare,massinjargross,dryweightnet,dryweightpercent,totalvaporizationamount,totalvaporizationvolume,ashweightnet,amounttoashing,ashconcentration,srcarrierconcentration,srcarriervolume,sievedorganicweight,sievedrocksweight,sieveddryweight
50325,1984.1,0,0.9715,kg,g-1,30.0,1.8,971.5,136.3,1107.8,1981.7,99.88,,,,,,,,,,
51117,,0,1.0,kg,g-4,40.0,1.0,,,,,,,,,,,,,,,
78316,,0,0.75,kg,g-4,40.0,1.0,,,,,,,,,,,,,,,
59110,2055.2,0,0.953,kg,g-1,30.0,1.76,953.0,136.4,1089.4,2047.5,99.63,,,,,,,,,,
56550,,0,0.25,kg,g-4,20.0,1.0,,,,,,,,,,,,,,,
74935,,0,1.45,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
66274,,0,0.4,kg,g-2,14.0,6.64,,,,,,,,,,,,,,,
53385,,0,0.58,kg,g-3,20.0,20.93,,,,,,,,,,,,,,,
63519,,0,0.23,kg,g-4,16.0,1.0,,,,,,,,,,,,,,,
62689,664.1,1,0.16291,kg,g-2,26.0,1.46,162.91,26.49,189.4,664.1000000000001,100.0,,,,,,,,,,
79605,,0,1.35,kg,g-4,170.0,1.0,,,,,,,,,,,,,,,
72779,28473.9,0,0.01941,kg_kp,g-3,18.0,0.78,19.41,11.72,31.13,20.700000000000045,0.07,,,,,,,,,,
67732,,0,0.156,kg,g-4,4.0,1.0,,,,,,,,,,,,,,,
62290,,0,0.356,kg,g-4,24.0,1.0,,,,,,,,,,,,,,,
58115,,0,0.11,kg,g-4,18.0,1.0,,,,,,,,,,,,,,,
56494,450.2,1,0.1936,kg,g-2,26.0,1.73,193.6,26.6,220.2,450.2000000000001,100.0,,,,,,,,,,
65583,135.0,1,0.0868,kg_kp,g-2,26.0,0.78,86.8,26.6,113.4,135.00000000000006,100.0,,,,,,,,,,
78025,,0,1.0,kg,g-4,0.0,1.0,,,,,,,,,,,,,,,
72895,,0,1.0,kg,g-4,20.0,1.0,,,,,,,,,,,,,,,
54751,,1,0.5416,kg_np,g-1,30.0,1.0,541.6,136.53,678.13,,,,,,,,,,,,
54377,,1,0.53568,kg_np,g-1,30.0,0.99,535.68,137.53,673.21,,,,,,,,,,,,
57684,,1,0.50541,kg_np,g-1,30.0,0.93,505.41,136.82,642.23,,,,,,,,,,,,
75356,,1,0.50346,kg_np,g-1,30.0,0.93,503.46,132.99,636.45,,,,,,,,,,,,
61671,,1,0.55376,kg_np,g-1,30.0,1.02,553.76,133.02,686.78,,,,,,,,,,,,
62780,,1,0.53684,kg_np,g-1,30.0,0.99,536.84,132.93,669.77,,,,,,,,,,,,
78869,,1,0.52879,kg_np,g-1,30.0,0.98,528.79,136.67,665.46,,,,,,,,,,,,
74013,,1,0.51904,kg_np,g-1,30.0,0.96,519.04,137.04,656.08,,,,,,,,,,,,
62706,,1,0.52802,kg_np,g-1,30.0,0.98,528.02,136.23,664.25,,,,,,,,,,,,
79670,,1,0.52059,kg_np,g-1,30.0,0.96,520.59,136.62,657.21,,,,,,,,,,,,
80082,,0,0.5,m^2,g-3,23.0,1.0,,26.63,11.0,,,,,,,,,,,,
54535,,0,0.15181,kg,g-2,5.0,7.06,151.81,1.67,153.48,,,,,,,,,,,,
70988,168.3,1,0.1056,kg_kp,g-3,26.0,2.93,105.6,26.6,132.2,168.30000000000007,100.0,,,,,,,,,,
56184,293.3,1,0.1359,kg_kp,g-2,26.0,1.22,135.9,26.6,162.5,293.30000000000007,76.78,,,,,,,,,,
67974,,0,0.5229,kg_np,g-1,30.0,0.97,522.9,137.43,660.33,,,,,,,,,,,,
79910,218.2,1,0.0755,kg_kp,g-2,26.0,0.68,75.5,26.6,102.1,218.20000000000005,100.0,,,,,,,,,,
56231,,0,4.914,kg_np,g-1,30.0,1.0,,,,,,4914.0,,,,,,,,,
79902,329.2,1,0.1492,kg_kp,g-2,26.0,1.33,149.2,26.5,175.7,329.20000000000005,100.0,,,,,,,,,,
59973,3078.1,0,0.41717,kg_kp,g-1,30.0,0.77,417.17,133.22,550.39,2717.4000000000005,88.28,,,,,,,,,,
66445,2758.01,0,0.32131,kg_kp,g-1,30.0,0.59,321.31,132.72,454.03,2424.21,87.9,,,,,,,,,,
65317,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
72266,,0,1.2919,kg_kp,g-4,125.0,1.0,,,,,,,,,,,,,,,
67469,,0,0.7,kg,g-4,30.0,1.5,,,,,,,,,,,,,,,
56024,384.7,1,0.1679,kg_kp,g-2,26.0,1.5,167.9,26.6,194.5,384.7000000000001,100.0,,,,,,,,,,
67876,,0,0.0005,kg,g-6,1.0,1.0,,,,,,,,,,,,,,,
