pseudoid,weightNet,vacuumed,quantum,quantumUnit,geometry,height,density,massInJar,massInJarTare,massInJarGross,dryWeightNet,dryWeightPercent,totalVaporizationAmount,totalVaporizationVolume,ashWeightNet,amountToAshing,ashConcentration,SrCarrierConcentration,SrCarrierVolume,sievedOrganicWeight,sievedRocksWeight,sievedDryWeight
73076,,1,0.04461,kg_kp,g-3,26,1.24,44.61,11.13,55.74,,,,,,,,,,,,
65911,1997.62,0,1.38498,kg_tp,g-2,26,0.79,88.5,27.09,115.59,127.7199999999998,6.39,,,,,,,,,,
60756,2666.77,0,1.19599,kg_tp,g-2,26,0.77,86.47,27.02,113.49,192.87000000000012,7.23,,,,,,,,,,
55708,2761.27,0,1.41011,kg_tp,g-2,26,0.82,92.08,27.13,119.21,180.37000000000012,6.53,,,,,,,,,,
77057,2582.75,0,1.32922,kg_tp,g-2,26,0.81,90.52,27.04,117.56,175.85000000000014,6.81,,,,,,,,,,
75980,,0,4.402,kg,g-1,30,1,,,,,,4402,,,,,,,,,
68061,,0,6488,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
62272,,0,6488,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
56986,,0,9236,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
79074,,0,9236,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
51498,,0,8591,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
62578,,0,8591,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
77411,,0,9960,m^3,g-3,3,0.7,,,,,,,,,,,,,,,
57229,,0,9960,m^3,g-3,11,0.8,,,,,,,,,,,,,,,
55252,,1,0.05627,kg_kp,g-3,26,1.56,56.27,11.01,67.28,,,,,,,,,,,,
59136,,1,0.05257,kg_kp,g-3,26,1.46,52.57,11.01,63.58,,,,,,,,,,,,
79876,,0,0.14755,kg,g-2,26,1.32,147.55,27.04,174.59,,,,,,,,,,,,
80013,,0,0.05006,kg,g-2,26,0.45,50.06,27.07,77.13,,,,,,,,,,,,
79761,,0,0.19324,kg,g-2,26,1.73,193.24,27.1,220.34,,,,,,,,,,,,
78012,,0,0.1773,kg,g-2,26,1.59,177.3,27.13,204.43,,,,,,,,,,,,
70139,,0,0.17579,kg,g-2,26,1.57,175.79,27.12,202.91,,,,,,,,,,,,
66496,,0,1,laaduton,g-2,1,1,,,,,,,,,,,,,,,
72197,,0,0.05374,kg,g-4,26,1,53.74,27.11,80.85,,,,,,,,,,,,
80520,,0,0.004402,,g-1,30,1,,,,,,4402,,,,,,,,,
74791,,1,0.05529,kg_kp,g-3,26,1.53,55.29,11.02,66.31,,,,,,,,,,,,
51641,,1,0.05009,kg_kp,g-3,26,1.39,50.09,10.99,61.08,,,,,,,,,,,,
76069,,1,0.04758,kg_kp,g-3,26,1.32,47.58,11.02,58.6,,,,,,,,,,,,
